id,mean_life,ph,pp
0,86.17,0.01,0.01
1,81.4,0.01,0.02
2,82.18,0.01,0.03
3,83.78,0.01,0.04
4,80.93,0.01,0.05
5,84.92,0.01,0.06
6,81.79,0.01,0.07
7,83.62,0.01,0.08
8,83.94,0.01,0.09
9,82.89,0.01,0.1
10,79.06,0.01,0.11
11,76.73,0.01,0.12
12,65.97,0.01,0.13
13,72.25,0.01,0.14
14,74.26,0.01,0.15
15,70.01,0.01,0.16
16,77.24,0.01,0.17
17,73.65,0.01,0.18
18,66.09,0.01,0.19
19,50.45,0.01,0.2
20,56.68,0.01,0.21
21,59.23,0.01,0.22
22,70.21,0.01,0.23
23,69.96,0.01,0.24
24,62.68,0.01,0.25
25,36.14,0.01,0.26
26,65.08,0.01,0.27
27,49.09,0.01,0.28
28,58.76,0.01,0.29
29,59.74,0.01,0.3
30,27.6,0.01,0.31
31,61.14,0.01,0.32
32,57.52,0.01,0.33
33,44.39,0.01,0.34
34,63.29,0.01,0.35
35,49.11,0.01,0.36
36,22.73,0.01,0.37
37,63.02,0.01,0.38
38,51.45,0.01,0.39
39,39.11,0.01,0.4
40,42.93,0.01,0.41
41,43.89,0.01,0.42
42,45.7,0.01,0.43
43,48.8,0.01,0.44
44,38.86,0.01,0.45
45,22.62,0.01,0.46
46,23.1,0.01,0.47
47,36.2,0.01,0.48
48,23.36,0.01,0.49
49,53.55,0.01,0.5
50,21.15,0.01,0.51
51,40.97,0.01,0.52
52,46.01,0.01,0.53
53,31.14,0.01,0.54
54,34.72,0.01,0.55
55,47.34,0.01,0.56
56,49.44,0.01,0.57
57,43.04,0.01,0.58
58,40.34,0.01,0.59
59,32.02,0.01,0.6
60,33.65,0.01,0.61
61,33.16,0.01,0.62
62,35.47,0.01,0.63
63,23.77,0.01,0.64
64,50.58,0.01,0.65
65,28.47,0.01,0.66
66,54.56,0.01,0.67
67,26.09,0.01,0.68
68,26.21,0.01,0.69
69,25.74,0.01,0.7
70,44.48,0.01,0.71
71,31.35,0.01,0.72
72,28.12,0.01,0.73
73,28.28,0.01,0.74
74,14.73,0.01,0.75
75,32.51,0.01,0.76
76,19.21,0.01,0.77
77,33.95,0.01,0.78
78,46.36,0.01,0.79
79,32.93,0.01,0.8
80,13.55,0.01,0.81
81,12.01,0.01,0.82
82,17.66,0.01,0.83
83,16.59,0.01,0.84
84,42.29,0.01,0.85
85,25.34,0.01,0.86
86,45.05,0.01,0.87
87,37.4,0.01,0.88
88,32.57,0.01,0.89
89,28.22,0.01,0.9
90,33.26,0.01,0.91
91,23.37,0.01,0.92
92,32.19,0.01,0.93
93,40.33,0.01,0.94
94,33.87,0.01,0.95
95,10.99,0.01,0.96
96,39.5,0.01,0.97
97,18.59,0.01,0.98
98,16.94,0.01,0.99
99,92.42,0.02,0.01
100,91.47,0.02,0.02
101,92.09,0.02,0.03
102,91.83,0.02,0.04
103,88.22,0.02,0.05
104,89.36,0.02,0.06
105,90.48,0.02,0.07
106,86.45,0.02,0.08
107,88.56,0.02,0.09
108,86.62,0.02,0.1
109,90.19,0.02,0.11
110,91.91,0.02,0.12
111,84.8,0.02,0.13
112,85.99,0.02,0.14
113,81,0.02,0.15
114,86.59,0.02,0.16
115,81.62,0.02,0.17
116,77.22,0.02,0.18
117,73.77,0.02,0.19
118,77.78,0.02,0.2
119,71.54,0.02,0.21
120,66.73,0.02,0.22
121,80.73,0.02,0.23
122,73.35,0.02,0.24
123,62.9,0.02,0.25
124,50.17,0.02,0.26
125,72.75,0.02,0.27
126,61.59,0.02,0.28
127,29.8,0.02,0.29
128,25.04,0.02,0.3
129,36.31,0.02,0.31
130,64.49,0.02,0.32
131,57.97,0.02,0.33
132,42.19,0.02,0.34
133,32.89,0.02,0.35
134,56.44,0.02,0.36
135,50.44,0.02,0.37
136,42.75,0.02,0.38
137,61.43,0.02,0.39
138,52.36,0.02,0.4
139,29.32,0.02,0.41
140,40.23,0.02,0.42
141,54.14,0.02,0.43
142,24.58,0.02,0.44
143,34.93,0.02,0.45
144,37.36,0.02,0.46
145,41.15,0.02,0.47
146,29.59,0.02,0.48
147,20.11,0.02,0.49
148,21.04,0.02,0.5
149,36.06,0.02,0.51
150,56.16,0.02,0.52
151,6.31,0.02,0.53
152,26.22,0.02,0.54
153,21.18,0.02,0.55
154,39.27,0.02,0.56
155,11.54,0.02,0.57
156,20.44,0.02,0.58
157,13.62,0.02,0.59
158,45.7,0.02,0.6
159,9.24,0.02,0.61
160,38.62,0.02,0.62
161,25.63,0.02,0.63
162,48.14,0.02,0.64
163,18.19,0.02,0.65
164,23.04,0.02,0.66
165,40.48,0.02,0.67
166,29.3,0.02,0.68
167,16.13,0.02,0.69
168,36.39,0.02,0.7
169,5.91,0.02,0.71
170,27.98,0.02,0.72
171,52.15,0.02,0.73
172,34.04,0.02,0.74
173,32.19,0.02,0.75
174,20.66,0.02,0.76
175,19,0.02,0.77
176,7.64,0.02,0.78
177,24.49,0.02,0.79
178,38.69,0.02,0.8
179,31.87,0.02,0.81
180,16.2,0.02,0.82
181,17.4,0.02,0.83
182,38.45,0.02,0.84
183,19.52,0.02,0.85
184,7.09,0.02,0.86
185,21.04,0.02,0.87
186,14.09,0.02,0.88
187,6.63,0.02,0.89
188,22.05,0.02,0.9
189,34.71,0.02,0.91
190,13.57,0.02,0.92
191,44.13,0.02,0.93
192,5.62,0.02,0.94
193,45.08,0.02,0.95
194,15.81,0.02,0.96
195,18.97,0.02,0.97
196,28.12,0.02,0.98
197,5.96,0.02,0.99
198,94.59,0.03,0.01
199,94.89,0.03,0.02
200,94.32,0.03,0.03
201,94.62,0.03,0.04
202,95.26,0.03,0.05
203,94.88,0.03,0.06
204,92.27,0.03,0.07
205,92.93,0.03,0.08
206,92.04,0.03,0.09
207,92.84,0.03,0.1
208,91.35,0.03,0.11
209,91.82,0.03,0.12
210,90.28,0.03,0.13
211,90.56,0.03,0.14
212,91.34,0.03,0.15
213,84.13,0.03,0.16
214,79.99,0.03,0.17
215,81.34,0.03,0.18
216,83.37,0.03,0.19
217,60.56,0.03,0.2
218,64.76,0.03,0.21
219,85.11,0.03,0.22
220,82.3,0.03,0.23
221,69.26,0.03,0.24
222,62.05,0.03,0.25
223,46.08,0.03,0.26
224,46.56,0.03,0.27
225,37.15,0.03,0.28
226,45.02,0.03,0.29
227,46.8,0.03,0.3
228,41.8,0.03,0.31
229,38,0.03,0.32
230,35.48,0.03,0.33
231,41.45,0.03,0.34
232,46.37,0.03,0.35
233,43.1,0.03,0.36
234,52.98,0.03,0.37
235,39.12,0.03,0.38
236,51.09,0.03,0.39
237,43.68,0.03,0.4
238,44.64,0.03,0.41
239,36.7,0.03,0.42
240,48.03,0.03,0.43
241,44,0.03,0.44
242,38.63,0.03,0.45
243,41.39,0.03,0.46
244,30.95,0.03,0.47
245,16.14,0.03,0.48
246,46.06,0.03,0.49
247,15.59,0.03,0.5
248,54.99,0.03,0.51
249,36.45,0.03,0.52
250,32.24,0.03,0.53
251,12.02,0.03,0.54
252,29.13,0.03,0.55
253,35.11,0.03,0.56
254,45.74,0.03,0.57
255,7.44,0.03,0.58
256,47.59,0.03,0.59
257,28.71,0.03,0.6
258,55.18,0.03,0.61
259,51.02,0.03,0.62
260,12.56,0.03,0.63
261,30.09,0.03,0.64
262,45.1,0.03,0.65
263,29.85,0.03,0.66
264,39.81,0.03,0.67
265,38.22,0.03,0.68
266,6.83,0.03,0.69
267,31.68,0.03,0.7
268,36.74,0.03,0.71
269,12.28,0.03,0.72
270,6.53,0.03,0.73
271,17.86,0.03,0.74
272,14.73,0.03,0.75
273,43.34,0.03,0.76
274,17.84,0.03,0.77
275,12.73,0.03,0.78
276,15.38,0.03,0.79
277,9.89,0.03,0.8
278,6.02,0.03,0.81
279,6.26,0.03,0.82
280,36.97,0.03,0.83
281,21.92,0.03,0.84
282,20.13,0.03,0.85
283,5.76,0.03,0.86
284,6.15,0.03,0.87
285,6.8,0.03,0.88
286,19.98,0.03,0.89
287,6.04,0.03,0.9
288,5.52,0.03,0.91
289,19.79,0.03,0.92
290,49.84,0.03,0.93
291,20.17,0.03,0.94
292,5.67,0.03,0.95
293,37.03,0.03,0.96
294,18.96,0.03,0.97
295,18.08,0.03,0.98
296,46.19,0.03,0.99
297,94.66,0.04,0.01
298,95.14,0.04,0.02
299,95.99,0.04,0.03
300,94.99,0.04,0.04
301,94.63,0.04,0.05
302,94.19,0.04,0.06
303,94.13,0.04,0.07
304,94.69,0.04,0.08
305,94.08,0.04,0.09
306,91.38,0.04,0.1
307,95.05,0.04,0.11
308,92.55,0.04,0.12
309,93.37,0.04,0.13
310,93.16,0.04,0.14
311,92.93,0.04,0.15
312,70.86,0.04,0.16
313,89.3,0.04,0.17
314,64.49,0.04,0.18
315,82.69,0.04,0.19
316,86.26,0.04,0.2
317,58.11,0.04,0.21
318,69.07,0.04,0.22
319,67.16,0.04,0.23
320,60.72,0.04,0.24
321,43.39,0.04,0.25
322,60.69,0.04,0.26
323,42.76,0.04,0.27
324,66.86,0.04,0.28
325,49.3,0.04,0.29
326,42.08,0.04,0.3
327,68.92,0.04,0.31
328,66.35,0.04,0.32
329,67.83,0.04,0.33
330,51.11,0.04,0.34
331,47.8,0.04,0.35
332,34.35,0.04,0.36
333,48.63,0.04,0.37
334,39.39,0.04,0.38
335,50.36,0.04,0.39
336,28.41,0.04,0.4
337,57.34,0.04,0.41
338,43.34,0.04,0.42
339,45.53,0.04,0.43
340,68,0.04,0.44
341,56.14,0.04,0.45
342,52.91,0.04,0.46
343,36.39,0.04,0.47
344,62.17,0.04,0.48
345,15.63,0.04,0.49
346,47.37,0.04,0.5
347,45.95,0.04,0.51
348,39.18,0.04,0.52
349,41.17,0.04,0.53
350,51.05,0.04,0.54
351,7.99,0.04,0.55
352,26.2,0.04,0.56
353,55.33,0.04,0.57
354,6.9,0.04,0.58
355,55.8,0.04,0.59
356,23.95,0.04,0.6
357,39.47,0.04,0.61
358,7.03,0.04,0.62
359,22.58,0.04,0.63
360,20.39,0.04,0.64
361,28.3,0.04,0.65
362,55.25,0.04,0.66
363,37.71,0.04,0.67
364,38.54,0.04,0.68
365,23.19,0.04,0.69
366,24.36,0.04,0.7
367,61.19,0.04,0.71
368,30.9,0.04,0.72
369,40.41,0.04,0.73
370,31.22,0.04,0.74
371,34.25,0.04,0.75
372,55.69,0.04,0.76
373,25.52,0.04,0.77
374,28.68,0.04,0.78
375,23.74,0.04,0.79
376,27.2,0.04,0.8
377,6.5,0.04,0.81
378,7,0.04,0.82
379,26.24,0.04,0.83
380,6.37,0.04,0.84
381,6.46,0.04,0.85
382,47.92,0.04,0.86
383,33.53,0.04,0.87
384,19.86,0.04,0.88
385,5.91,0.04,0.89
386,44.03,0.04,0.9
387,6.26,0.04,0.91
388,21.36,0.04,0.92
389,6.65,0.04,0.93
390,30.23,0.04,0.94
391,25.94,0.04,0.95
392,6.07,0.04,0.96
393,32.4,0.04,0.97
394,5.8,0.04,0.98
395,25.67,0.04,0.99
396,96.9,0.05,0.01
397,96.44,0.05,0.02
398,96.18,0.05,0.03
399,96.94,0.05,0.04
400,95.35,0.05,0.05
401,95.19,0.05,0.06
402,95.46,0.05,0.07
403,94.77,0.05,0.08
404,93.95,0.05,0.09
405,94.66,0.05,0.1
406,95.25,0.05,0.11
407,91.68,0.05,0.12
408,92.91,0.05,0.13
409,93.47,0.05,0.14
410,83.64,0.05,0.15
411,91.28,0.05,0.16
412,80.23,0.05,0.17
413,73.02,0.05,0.18
414,69,0.05,0.19
415,77.44,0.05,0.2
416,70.78,0.05,0.21
417,55.25,0.05,0.22
418,67.14,0.05,0.23
419,58.76,0.05,0.24
420,58.32,0.05,0.25
421,49.4,0.05,0.26
422,67.5,0.05,0.27
423,46.86,0.05,0.28
424,49.66,0.05,0.29
425,45.92,0.05,0.3
426,76.1,0.05,0.31
427,46.61,0.05,0.32
428,48.88,0.05,0.33
429,39.12,0.05,0.34
430,71.09,0.05,0.35
431,40.32,0.05,0.36
432,39.24,0.05,0.37
433,63.28,0.05,0.38
434,66.76,0.05,0.39
435,69.98,0.05,0.4
436,50.54,0.05,0.41
437,54.31,0.05,0.42
438,39.72,0.05,0.43
439,71.93,0.05,0.44
440,25.31,0.05,0.45
441,37.87,0.05,0.46
442,52.95,0.05,0.47
443,49.93,0.05,0.48
444,9.07,0.05,0.49
445,46.04,0.05,0.5
446,49.93,0.05,0.51
447,26.32,0.05,0.52
448,49.77,0.05,0.53
449,60.93,0.05,0.54
450,21.37,0.05,0.55
451,48.32,0.05,0.56
452,10.7,0.05,0.57
453,18.54,0.05,0.58
454,58.45,0.05,0.59
455,43.8,0.05,0.6
456,39.02,0.05,0.61
457,50.18,0.05,0.62
458,36.79,0.05,0.63
459,30.45,0.05,0.64
460,52.85,0.05,0.65
461,47.19,0.05,0.66
462,58.32,0.05,0.67
463,47.42,0.05,0.68
464,15.74,0.05,0.69
465,7.29,0.05,0.7
466,49.06,0.05,0.71
467,37.82,0.05,0.72
468,6.32,0.05,0.73
469,13.17,0.05,0.74
470,50.02,0.05,0.75
471,39.46,0.05,0.76
472,35.71,0.05,0.77
473,31.33,0.05,0.78
474,7.37,0.05,0.79
475,6.49,0.05,0.8
476,6.94,0.05,0.81
477,6.33,0.05,0.82
478,7.73,0.05,0.83
479,7.16,0.05,0.84
480,29.7,0.05,0.85
481,53.19,0.05,0.86
482,7.21,0.05,0.87
483,43.33,0.05,0.88
484,55.27,0.05,0.89
485,6.51,0.05,0.9
486,6.52,0.05,0.91
487,33.2,0.05,0.92
488,7.74,0.05,0.93
489,6.55,0.05,0.94
490,22.55,0.05,0.95
491,6.45,0.05,0.96
492,55.65,0.05,0.97
493,7.04,0.05,0.98
494,7.2,0.05,0.99
495,96.87,0.06,0.01
496,97.17,0.06,0.02
497,96.65,0.06,0.03
498,96.4,0.06,0.04
499,96.38,0.06,0.05
500,95.39,0.06,0.06
501,96.28,0.06,0.07
502,96.06,0.06,0.08
503,95.39,0.06,0.09
504,95.88,0.06,0.1
505,94.68,0.06,0.11
506,94.44,0.06,0.12
507,90.33,0.06,0.13
508,91.78,0.06,0.14
509,84.75,0.06,0.15
510,93.02,0.06,0.16
511,83.15,0.06,0.17
512,84.19,0.06,0.18
513,70.31,0.06,0.19
514,71.55,0.06,0.2
515,60.12,0.06,0.21
516,88.53,0.06,0.22
517,61.03,0.06,0.23
518,62.13,0.06,0.24
519,58.09,0.06,0.25
520,60.83,0.06,0.26
521,48.85,0.06,0.27
522,62.37,0.06,0.28
523,68.08,0.06,0.29
524,52.9,0.06,0.3
525,52.2,0.06,0.31
526,50.33,0.06,0.32
527,45.74,0.06,0.33
528,39.5,0.06,0.34
529,42.85,0.06,0.35
530,65.17,0.06,0.36
531,41.92,0.06,0.37
532,52.56,0.06,0.38
533,63.58,0.06,0.39
534,36.44,0.06,0.4
535,69.98,0.06,0.41
536,50.01,0.06,0.42
537,48.94,0.06,0.43
538,61.89,0.06,0.44
539,39.54,0.06,0.45
540,68.27,0.06,0.46
541,58.99,0.06,0.47
542,50.07,0.06,0.48
543,61.99,0.06,0.49
544,66.55,0.06,0.5
545,33.88,0.06,0.51
546,50.31,0.06,0.52
547,55.22,0.06,0.53
548,60.74,0.06,0.54
549,44.27,0.06,0.55
550,64.14,0.06,0.56
551,32.91,0.06,0.57
552,63.28,0.06,0.58
553,29.83,0.06,0.59
554,44.45,0.06,0.6
555,61.05,0.06,0.61
556,42.88,0.06,0.62
557,67.22,0.06,0.63
558,27.44,0.06,0.64
559,15.5,0.06,0.65
560,43.73,0.06,0.66
561,27.6,0.06,0.67
562,28.78,0.06,0.68
563,7.84,0.06,0.69
564,55.39,0.06,0.7
565,7.72,0.06,0.71
566,33.28,0.06,0.72
567,6.74,0.06,0.73
568,41.65,0.06,0.74
569,28.95,0.06,0.75
570,40.86,0.06,0.76
571,40.28,0.06,0.77
572,52.62,0.06,0.78
573,44.55,0.06,0.79
574,28.18,0.06,0.8
575,7.2,0.06,0.81
576,43.66,0.06,0.82
577,43.33,0.06,0.83
578,6.9,0.06,0.84
579,7.25,0.06,0.85
580,46.47,0.06,0.86
581,45.03,0.06,0.87
582,6.73,0.06,0.88
583,9.98,0.06,0.89
584,8.6,0.06,0.9
585,7.02,0.06,0.91
586,7.06,0.06,0.92
587,6.96,0.06,0.93
588,7.06,0.06,0.94
589,6.55,0.06,0.95
590,7.01,0.06,0.96
591,7.32,0.06,0.97
592,6.84,0.06,0.98
593,6.25,0.06,0.99
594,96.54,0.07,0.01
595,96.77,0.07,0.02
596,97.11,0.07,0.03
597,97.21,0.07,0.04
598,96.85,0.07,0.05
599,96.32,0.07,0.06
600,96.22,0.07,0.07
601,96.03,0.07,0.08
602,95.8,0.07,0.09
603,94.24,0.07,0.1
604,93.97,0.07,0.11
605,95.73,0.07,0.12
606,89.83,0.07,0.13
607,89.57,0.07,0.14
608,89.43,0.07,0.15
609,80.82,0.07,0.16
610,83.36,0.07,0.17
611,82.59,0.07,0.18
612,77.06,0.07,0.19
613,77.14,0.07,0.2
614,66.56,0.07,0.21
615,74.88,0.07,0.22
616,68.91,0.07,0.23
617,63.69,0.07,0.24
618,60.22,0.07,0.25
619,58.35,0.07,0.26
620,54.13,0.07,0.27
621,60.03,0.07,0.28
622,54.32,0.07,0.29
623,61.67,0.07,0.3
624,71.54,0.07,0.31
625,45.31,0.07,0.32
626,48.47,0.07,0.33
627,47.46,0.07,0.34
628,48.9,0.07,0.35
629,37.82,0.07,0.36
630,44.13,0.07,0.37
631,44.78,0.07,0.38
632,37.95,0.07,0.39
633,74.03,0.07,0.4
634,50.14,0.07,0.41
635,38.81,0.07,0.42
636,73.64,0.07,0.43
637,70.44,0.07,0.44
638,30.95,0.07,0.45
639,30.65,0.07,0.46
640,37.64,0.07,0.47
641,70.4,0.07,0.48
642,59.14,0.07,0.49
643,35.65,0.07,0.5
644,34.26,0.07,0.51
645,67.29,0.07,0.52
646,38.43,0.07,0.53
647,30.9,0.07,0.54
648,59.05,0.07,0.55
649,23.85,0.07,0.56
650,63.27,0.07,0.57
651,31.3,0.07,0.58
652,54.39,0.07,0.59
653,45.7,0.07,0.6
654,54.18,0.07,0.61
655,48.76,0.07,0.62
656,58.61,0.07,0.63
657,27.95,0.07,0.64
658,73.63,0.07,0.65
659,26.36,0.07,0.66
660,41.6,0.07,0.67
661,73.56,0.07,0.68
662,52.98,0.07,0.69
663,45.52,0.07,0.7
664,60.36,0.07,0.71
665,60,0.07,0.72
666,40.9,0.07,0.73
667,9.75,0.07,0.74
668,61.97,0.07,0.75
669,9.19,0.07,0.76
670,46.86,0.07,0.77
671,44.88,0.07,0.78
672,53.45,0.07,0.79
673,27.27,0.07,0.8
674,28.72,0.07,0.81
675,6.87,0.07,0.82
676,23.45,0.07,0.83
677,8.01,0.07,0.84
678,41.1,0.07,0.85
679,53.92,0.07,0.86
680,7.46,0.07,0.87
681,40.74,0.07,0.88
682,7.72,0.07,0.89
683,8.12,0.07,0.9
684,8.47,0.07,0.91
685,8.24,0.07,0.92
686,39.01,0.07,0.93
687,6.72,0.07,0.94
688,7.35,0.07,0.95
689,8.49,0.07,0.96
690,7.85,0.07,0.97
691,10.17,0.07,0.98
692,29.75,0.07,0.99
693,97.37,0.08,0.01
694,97.55,0.08,0.02
695,96.85,0.08,0.03
696,96.64,0.08,0.04
697,96.84,0.08,0.05
698,96.65,0.08,0.06
699,96.8,0.08,0.07
700,96.14,0.08,0.08
701,95.66,0.08,0.09
702,94.71,0.08,0.1
703,95.47,0.08,0.11
704,94.04,0.08,0.12
705,90.18,0.08,0.13
706,86,0.08,0.14
707,80.73,0.08,0.15
708,88.12,0.08,0.16
709,82.4,0.08,0.17
710,79.48,0.08,0.18
711,77.46,0.08,0.19
712,69.75,0.08,0.2
713,71.73,0.08,0.21
714,66.54,0.08,0.22
715,65.94,0.08,0.23
716,62.3,0.08,0.24
717,65.63,0.08,0.25
718,56.31,0.08,0.26
719,57.94,0.08,0.27
720,60.66,0.08,0.28
721,54.7,0.08,0.29
722,55.84,0.08,0.3
723,52.5,0.08,0.31
724,48.72,0.08,0.32
725,50.16,0.08,0.33
726,52.84,0.08,0.34
727,50.9,0.08,0.35
728,42.93,0.08,0.36
729,45.91,0.08,0.37
730,49.63,0.08,0.38
731,49.5,0.08,0.39
732,40.07,0.08,0.4
733,46.87,0.08,0.41
734,35.62,0.08,0.42
735,32.75,0.08,0.43
736,41,0.08,0.44
737,37.91,0.08,0.45
738,37.37,0.08,0.46
739,37.24,0.08,0.47
740,34.95,0.08,0.48
741,33.56,0.08,0.49
742,38.77,0.08,0.5
743,38.21,0.08,0.51
744,50.98,0.08,0.52
745,40.29,0.08,0.53
746,46.84,0.08,0.54
747,28.52,0.08,0.55
748,68.66,0.08,0.56
749,68.21,0.08,0.57
750,71.09,0.08,0.58
751,26.17,0.08,0.59
752,10.31,0.08,0.6
753,60.04,0.08,0.61
754,45.61,0.08,0.62
755,71.71,0.08,0.63
756,42.72,0.08,0.64
757,28.62,0.08,0.65
758,43.41,0.08,0.66
759,15.94,0.08,0.67
760,9.24,0.08,0.68
761,62.51,0.08,0.69
762,59.26,0.08,0.7
763,19.06,0.08,0.71
764,31.95,0.08,0.72
765,28.48,0.08,0.73
766,13.63,0.08,0.74
767,66.84,0.08,0.75
768,17.67,0.08,0.76
769,34.59,0.08,0.77
770,38.09,0.08,0.78
771,54.62,0.08,0.79
772,61.8,0.08,0.8
773,8.75,0.08,0.81
774,65.67,0.08,0.82
775,9.25,0.08,0.83
776,9.58,0.08,0.84
777,44.15,0.08,0.85
778,27.83,0.08,0.86
779,43.06,0.08,0.87
780,9.34,0.08,0.88
781,8.15,0.08,0.89
782,9.4,0.08,0.9
783,8.55,0.08,0.91
784,65.9,0.08,0.92
785,23.97,0.08,0.93
786,20.16,0.08,0.94
787,8.25,0.08,0.95
788,7.12,0.08,0.96
789,7.94,0.08,0.97
790,8.39,0.08,0.98
791,8.54,0.08,0.99
792,97.78,0.09,0.01
793,97.59,0.09,0.02
794,97.62,0.09,0.03
795,97.56,0.09,0.04
796,97.2,0.09,0.05
797,97.48,0.09,0.06
798,96.67,0.09,0.07
799,96.68,0.09,0.08
800,96.24,0.09,0.09
801,95.16,0.09,0.1
802,95.51,0.09,0.11
803,93.66,0.09,0.12
804,93.81,0.09,0.13
805,84.72,0.09,0.14
806,94.68,0.09,0.15
807,83.9,0.09,0.16
808,83.68,0.09,0.17
809,76.28,0.09,0.18
810,70.06,0.09,0.19
811,76.14,0.09,0.2
812,66.84,0.09,0.21
813,70.91,0.09,0.22
814,63.12,0.09,0.23
815,62.4,0.09,0.24
816,61.28,0.09,0.25
817,58.09,0.09,0.26
818,62.51,0.09,0.27
819,60.27,0.09,0.28
820,58.2,0.09,0.29
821,51.86,0.09,0.3
822,54.32,0.09,0.31
823,52.46,0.09,0.32
824,52.86,0.09,0.33
825,46.7,0.09,0.34
826,51.85,0.09,0.35
827,54.25,0.09,0.36
828,47.84,0.09,0.37
829,50.19,0.09,0.38
830,46.89,0.09,0.39
831,42.6,0.09,0.4
832,43.23,0.09,0.41
833,43.77,0.09,0.42
834,42.23,0.09,0.43
835,37.33,0.09,0.44
836,72.8,0.09,0.45
837,39.83,0.09,0.46
838,36.23,0.09,0.47
839,34.97,0.09,0.48
840,41.29,0.09,0.49
841,38.78,0.09,0.5
842,57.74,0.09,0.51
843,36.63,0.09,0.52
844,39.74,0.09,0.53
845,33.29,0.09,0.54
846,37.94,0.09,0.55
847,34.66,0.09,0.56
848,29.86,0.09,0.57
849,38.03,0.09,0.58
850,29.92,0.09,0.59
851,29.95,0.09,0.6
852,24.24,0.09,0.61
853,38.11,0.09,0.62
854,35.35,0.09,0.63
855,25.87,0.09,0.64
856,30.73,0.09,0.65
857,27.25,0.09,0.66
858,8.06,0.09,0.67
859,60.05,0.09,0.68
860,25.95,0.09,0.69
861,32.31,0.09,0.7
862,24.17,0.09,0.71
863,22.55,0.09,0.72
864,32.26,0.09,0.73
865,26.53,0.09,0.74
866,19.63,0.09,0.75
867,55.5,0.09,0.76
868,34,0.09,0.77
869,57.83,0.09,0.78
870,19.46,0.09,0.79
871,26.8,0.09,0.8
872,43.36,0.09,0.81
873,8.26,0.09,0.82
874,7.86,0.09,0.83
875,8.77,0.09,0.84
876,48.14,0.09,0.85
877,10.13,0.09,0.86
878,44.03,0.09,0.87
879,60.71,0.09,0.88
880,24.51,0.09,0.89
881,10.62,0.09,0.9
882,10.77,0.09,0.91
883,9.79,0.09,0.92
884,63.18,0.09,0.93
885,8.24,0.09,0.94
886,8.57,0.09,0.95
887,8.78,0.09,0.96
888,9.72,0.09,0.97
889,15.73,0.09,0.98
890,9.3,0.09,0.99
891,97.64,0.1,0.01
892,97.71,0.1,0.02
893,97.29,0.1,0.03
894,97.6,0.1,0.04
895,97.31,0.1,0.05
896,97.39,0.1,0.06
897,96.91,0.1,0.07
898,95.27,0.1,0.08
899,97.84,0.1,0.09
900,95.91,0.1,0.1
901,96.03,0.1,0.11
902,96.38,0.1,0.12
903,96.2,0.1,0.13
904,92.55,0.1,0.14
905,88.22,0.1,0.15
906,85.02,0.1,0.16
907,81.13,0.1,0.17
908,78.75,0.1,0.18
909,83,0.1,0.19
910,75,0.1,0.2
911,71.19,0.1,0.21
912,67.04,0.1,0.22
913,72.37,0.1,0.23
914,68,0.1,0.24
915,64.51,0.1,0.25
916,65.51,0.1,0.26
917,64.74,0.1,0.27
918,60.6,0.1,0.28
919,58.76,0.1,0.29
920,56.17,0.1,0.3
921,57.68,0.1,0.31
922,54.28,0.1,0.32
923,53.6,0.1,0.33
924,51.42,0.1,0.34
925,49.51,0.1,0.35
926,51.35,0.1,0.36
927,47.6,0.1,0.37
928,46.46,0.1,0.38
929,44.27,0.1,0.39
930,44.84,0.1,0.4
931,44.98,0.1,0.41
932,44.74,0.1,0.42
933,44.51,0.1,0.43
934,45.55,0.1,0.44
935,37.72,0.1,0.45
936,47.46,0.1,0.46
937,39.26,0.1,0.47
938,40.33,0.1,0.48
939,75.69,0.1,0.49
940,41.86,0.1,0.5
941,40.95,0.1,0.51
942,40.43,0.1,0.52
943,33.38,0.1,0.53
944,34.82,0.1,0.54
945,42.68,0.1,0.55
946,34.24,0.1,0.56
947,35.44,0.1,0.57
948,34.48,0.1,0.58
949,37.74,0.1,0.59
950,34.17,0.1,0.6
951,32.51,0.1,0.61
952,36.58,0.1,0.62
953,36.44,0.1,0.63
954,34.04,0.1,0.64
955,38.23,0.1,0.65
956,30.77,0.1,0.66
957,23.91,0.1,0.67
958,67.51,0.1,0.68
959,26.76,0.1,0.69
960,24.89,0.1,0.7
961,27.69,0.1,0.71
962,28.18,0.1,0.72
963,9.42,0.1,0.73
964,33.97,0.1,0.74
965,27.03,0.1,0.75
966,30.63,0.1,0.76
967,23.62,0.1,0.77
968,25.51,0.1,0.78
969,25.91,0.1,0.79
970,18.45,0.1,0.8
971,21.76,0.1,0.81
972,18.43,0.1,0.82
973,56.21,0.1,0.83
974,22.48,0.1,0.84
975,22.67,0.1,0.85
976,20.15,0.1,0.86
977,13.34,0.1,0.87
978,27.13,0.1,0.88
979,15.49,0.1,0.89
980,11.2,0.1,0.9
981,23.44,0.1,0.91
982,24.45,0.1,0.92
983,14.43,0.1,0.93
984,19.18,0.1,0.94
985,19.11,0.1,0.95
986,13.29,0.1,0.96
987,12.31,0.1,0.97
988,8.38,0.1,0.98
989,9.85,0.1,0.99
990,97.83,0.11,0.01
991,97.74,0.11,0.02
992,97.82,0.11,0.03
993,97.13,0.11,0.04
994,97.77,0.11,0.05
995,97.37,0.11,0.06
996,97.35,0.11,0.07
997,97.04,0.11,0.08
998,97.54,0.11,0.09
999,97.1,0.11,0.1
1000,94.6,0.11,0.11
