id,mean_predators,ph,pp
2587,15.45,0.27,0.14
2588,24.34,0.27,0.15
2589,22.77,0.27,0.16
2590,24.79,0.27,0.17
2591,30.46,0.27,0.18
2592,31.41,0.27,0.19
2593,29.88,0.27,0.2
2594,34.53,0.27,0.21
2595,34.24,0.27,0.22
2596,38.4,0.27,0.23
2597,38.23,0.27,0.24
2598,39.14,0.27,0.25
2599,39.64,0.27,0.26
2600,39.83,0.27,0.27
2601,41.22,0.27,0.28
2602,40.6,0.27,0.29
2603,42.35,0.27,0.3
2604,43.84,0.27,0.31
2605,42.69,0.27,0.32
2606,43.98,0.27,0.33
2607,45.03,0.27,0.34
2608,45.75,0.27,0.35
2609,43.87,0.27,0.36
2610,45.3,0.27,0.37
2611,44.33,0.27,0.38
2612,45.24,0.27,0.39
2613,47.34,0.27,0.4
2614,46.86,0.27,0.41
2615,47.31,0.27,0.42
2616,46.69,0.27,0.43
2617,47.95,0.27,0.44
2618,49.67,0.27,0.45
2619,48.6,0.27,0.46
2620,48.43,0.27,0.47
2621,46.85,0.27,0.48
2622,49.14,0.27,0.49
2623,49.81,0.27,0.5
2624,47.37,0.27,0.51
2625,46.88,0.27,0.52
2626,49.02,0.27,0.53
2627,49.52,0.27,0.54
2628,49.46,0.27,0.55
2629,49.74,0.27,0.56
2630,50.31,0.27,0.57
2631,50.38,0.27,0.58
2632,51.24,0.27,0.59
2633,50.66,0.27,0.6
2634,51.75,0.27,0.61
2635,48.86,0.27,0.62
2636,50.41,0.27,0.63
2637,50.95,0.27,0.64
2638,50.63,0.27,0.65
2639,51.14,0.27,0.66
2640,50.18,0.27,0.67
2641,51.29,0.27,0.68
2642,51.63,0.27,0.69
2643,51.41,0.27,0.7
2644,50.36,0.27,0.71
2645,51.99,0.27,0.72
2646,50.79,0.27,0.73
2647,52.74,0.27,0.74
2648,52.11,0.27,0.75
2649,51.76,0.27,0.76
2650,51.79,0.27,0.77
2651,54.35,0.27,0.78
2652,51.92,0.27,0.79
2653,52.5,0.27,0.8
2654,52.37,0.27,0.81
2655,51.69,0.27,0.82
2656,52.01,0.27,0.83
2657,50.29,0.27,0.84
2658,53.52,0.27,0.85
2659,53.23,0.27,0.86
2660,52.74,0.27,0.87
2661,52.73,0.27,0.88
2662,52.14,0.27,0.89
2663,53.01,0.27,0.9
2664,52.27,0.27,0.91
2665,52.15,0.27,0.92
2666,52.26,0.27,0.93
2667,52.05,0.27,0.94
2668,52.9,0.27,0.95
2669,52.51,0.27,0.96
2670,52.87,0.27,0.97
2671,52.82,0.27,0.98
2672,52.67,0.27,0.99
2673,0.44,0.28,0.01
2674,0.56,0.28,0.02
2675,0.68,0.28,0.03
2676,0.68,0.28,0.04
2677,0.48,0.28,0.05
2678,0.6,0.28,0.06
2679,1.16,0.28,0.07
2680,1.28,0.28,0.08
2681,3.6,0.28,0.09
2682,5.88,0.28,0.1
2683,1.96,0.28,0.11
2684,8.26,0.28,0.12
2685,13.06,0.28,0.13
2686,16.99,0.28,0.14
2687,16.81,0.28,0.15
2688,23.41,0.28,0.16
2689,28.43,0.28,0.17
2690,27.51,0.28,0.18
2691,28.82,0.28,0.19
2692,30.34,0.28,0.2
2693,35.64,0.28,0.21
2694,36.75,0.28,0.22
2695,35.6,0.28,0.23
2696,38.43,0.28,0.24
2697,37.96,0.28,0.25
2698,40.7,0.28,0.26
2699,40.88,0.28,0.27
2700,41.11,0.28,0.28
2701,41.99,0.28,0.29
2702,42.09,0.28,0.3
2703,43.19,0.28,0.31
2704,45.03,0.28,0.32
2705,44.49,0.28,0.33
2706,43.81,0.28,0.34
2707,44.92,0.28,0.35
2708,45.61,0.28,0.36
2709,47.35,0.28,0.37
2710,46.91,0.28,0.38
2711,46.81,0.28,0.39
2712,48.17,0.28,0.4
2713,47.42,0.28,0.41
2714,47.61,0.28,0.42
2715,48.27,0.28,0.43
2716,47.35,0.28,0.44
2717,48.84,0.28,0.45
2718,48.46,0.28,0.46
2719,48.38,0.28,0.47
2720,49.95,0.28,0.48
2721,50.88,0.28,0.49
2722,49.67,0.28,0.5
2723,49.22,0.28,0.51
2724,49.14,0.28,0.52
2725,49.9,0.28,0.53
2726,49.66,0.28,0.54
2727,51.28,0.28,0.55
2728,52.46,0.28,0.56
2729,50.16,0.28,0.57
2730,52.84,0.28,0.58
2731,50.55,0.28,0.59
2732,52.78,0.28,0.6
2733,51.03,0.28,0.61
2734,51.67,0.28,0.62
2735,53.31,0.28,0.63
2736,51.78,0.28,0.64
2737,50.78,0.28,0.65
2738,52.68,0.28,0.66
2739,52.36,0.28,0.67
2740,51.57,0.28,0.68
2741,52.67,0.28,0.69
2742,51.05,0.28,0.7
2743,52.69,0.28,0.71
2744,51.61,0.28,0.72
2745,53.05,0.28,0.73
2746,52.82,0.28,0.74
2747,54.05,0.28,0.75
2748,53.17,0.28,0.76
2749,53.85,0.28,0.77
2750,52.79,0.28,0.78
2751,51.5,0.28,0.79
2752,53.58,0.28,0.8
2753,53.95,0.28,0.81
2754,53.02,0.28,0.82
2755,53.58,0.28,0.83
2756,53.28,0.28,0.84
2757,52.41,0.28,0.85
2758,53.75,0.28,0.86
2759,54.5,0.28,0.87
2760,54.12,0.28,0.88
2761,53.01,0.28,0.89
2762,53.91,0.28,0.9
2763,53.1,0.28,0.91
2764,52.9,0.28,0.92
2765,52.99,0.28,0.93
2766,54.03,0.28,0.94
2767,53.68,0.28,0.95
2768,54.65,0.28,0.96
2769,55.53,0.28,0.97
2770,53.9,0.28,0.98
2771,54.02,0.28,0.99
2772,0.4,0.29,0.01
2773,0.52,0.29,0.02
2774,0.48,0.29,0.03
2775,0.64,0.29,0.04
2776,0.8,0.29,0.05
2777,0.76,0.29,0.06
2778,1.48,0.29,0.07
2779,2.76,0.29,0.08
2780,1.72,0.29,0.09
2781,10.13,0.29,0.1
2782,3.16,0.29,0.11
2783,7.4,0.29,0.12
2784,17.28,0.29,0.13
2785,15.5,0.29,0.14
2786,18.21,0.29,0.15
2787,27.94,0.29,0.16
2788,27.12,0.29,0.17
2789,29.58,0.29,0.18
2790,31.62,0.29,0.19
2791,32.55,0.29,0.2
2792,34.1,0.29,0.21
2793,37.49,0.29,0.22
2794,40.12,0.29,0.23
2795,36.6,0.29,0.24
2796,40.46,0.29,0.25
2797,40.79,0.29,0.26
2798,41.56,0.29,0.27
2799,43.78,0.29,0.28
2800,42.93,0.29,0.29
2801,44.68,0.29,0.3
2802,44.81,0.29,0.31
2803,44.4,0.29,0.32
2804,46.51,0.29,0.33
2805,44.83,0.29,0.34
2806,47.17,0.29,0.35
2807,46.75,0.29,0.36
2808,47.1,0.29,0.37
2809,47.07,0.29,0.38
2810,48.41,0.29,0.39
2811,48.32,0.29,0.4
2812,46.61,0.29,0.41
2813,49.3,0.29,0.42
2814,48.72,0.29,0.43
2815,48.11,0.29,0.44
2816,49.49,0.29,0.45
2817,49.3,0.29,0.46
2818,50.97,0.29,0.47
2819,50.31,0.29,0.48
2820,50.34,0.29,0.49
2821,50.34,0.29,0.5
2822,50.24,0.29,0.51
2823,50.05,0.29,0.52
2824,50.92,0.29,0.53
2825,51.08,0.29,0.54
2826,51.41,0.29,0.55
2827,51.35,0.29,0.56
2828,51.86,0.29,0.57
2829,51.17,0.29,0.58
2830,52.72,0.29,0.59
2831,50.92,0.29,0.6
2832,51.96,0.29,0.61
2833,53.17,0.29,0.62
2834,52.82,0.29,0.63
2835,53.3,0.29,0.64
2836,53.87,0.29,0.65
2837,50.45,0.29,0.66
2838,51.1,0.29,0.67
2839,53.1,0.29,0.68
2840,52.84,0.29,0.69
2841,53.94,0.29,0.7
2842,54.01,0.29,0.71
2843,53.38,0.29,0.72
2844,54.04,0.29,0.73
2845,51.94,0.29,0.74
2846,53.82,0.29,0.75
2847,53.63,0.29,0.76
2848,53.78,0.29,0.77
2849,54.27,0.29,0.78
2850,52.99,0.29,0.79
2851,54.02,0.29,0.8
2852,54.24,0.29,0.81
2853,54.27,0.29,0.82
2854,53.8,0.29,0.83
2855,54.23,0.29,0.84
2856,54.79,0.29,0.85
2857,53.21,0.29,0.86
2858,53.71,0.29,0.87
2859,53.78,0.29,0.88
2860,53.91,0.29,0.89
2861,54.37,0.29,0.9
2862,54.92,0.29,0.91
2863,55.67,0.29,0.92
2864,55.18,0.29,0.93
2865,55.5,0.29,0.94
2866,53.47,0.29,0.95
2867,55.22,0.29,0.96
2868,53.53,0.29,0.97
2869,53.83,0.29,0.98
2870,54.13,0.29,0.99
2871,0.48,0.3,0.01
2872,0.52,0.3,0.02
2873,0.6,0.3,0.03
2874,0.84,0.3,0.04
2875,0.64,0.3,0.05
2876,0.72,0.3,0.06
2877,1.4,0.3,0.07
2878,2.16,0.3,0.08
2879,2.72,0.3,0.09
2880,2.96,0.3,0.1
2881,5.88,0.3,0.11
2882,9.68,0.3,0.12
2883,8.97,0.3,0.13
2884,22.2,0.3,0.14
2885,22.08,0.3,0.15
2886,21.54,0.3,0.16
2887,26.53,0.3,0.17
2888,30.67,0.3,0.18
2889,33.83,0.3,0.19
2890,34.56,0.3,0.2
2891,35.27,0.3,0.21
2892,36.52,0.3,0.22
2893,40.06,0.3,0.23
2894,39.78,0.3,0.24
2895,38.2,0.3,0.25
2896,39.98,0.3,0.26
2897,40.47,0.3,0.27
2898,41.64,0.3,0.28
2899,44.87,0.3,0.29
2900,44.36,0.3,0.3
2901,43.46,0.3,0.31
2902,43.57,0.3,0.32
2903,46.92,0.3,0.33
2904,47.04,0.3,0.34
2905,48.19,0.3,0.35
2906,47.45,0.3,0.36
2907,46.92,0.3,0.37
2908,46.66,0.3,0.38
2909,47.77,0.3,0.39
2910,48.74,0.3,0.4
2911,49.51,0.3,0.41
2912,48.38,0.3,0.42
2913,48.64,0.3,0.43
2914,48.98,0.3,0.44
2915,49.79,0.3,0.45
2916,50.32,0.3,0.46
2917,50.32,0.3,0.47
2918,50.79,0.3,0.48
2919,51.41,0.3,0.49
2920,50.87,0.3,0.5
2921,52.45,0.3,0.51
2922,52.56,0.3,0.52
2923,52.26,0.3,0.53
2924,52.59,0.3,0.54
2925,53.25,0.3,0.55
2926,53.32,0.3,0.56
2927,52.72,0.3,0.57
2928,53.32,0.3,0.58
2929,53.05,0.3,0.59
2930,52.41,0.3,0.6
2931,54.51,0.3,0.61
2932,52.13,0.3,0.62
2933,53.71,0.3,0.63
2934,53.63,0.3,0.64
2935,53.41,0.3,0.65
2936,53.05,0.3,0.66
2937,54.38,0.3,0.67
2938,54.48,0.3,0.68
2939,53.5,0.3,0.69
2940,53.74,0.3,0.7
2941,53.88,0.3,0.71
2942,52.86,0.3,0.72
2943,53.15,0.3,0.73
2944,54.15,0.3,0.74
2945,53.64,0.3,0.75
2946,53.72,0.3,0.76
2947,55.37,0.3,0.77
2948,53.75,0.3,0.78
2949,54.79,0.3,0.79
2950,54.8,0.3,0.8
2951,55.05,0.3,0.81
2952,54.82,0.3,0.82
2953,53.76,0.3,0.83
2954,53.9,0.3,0.84
2955,55.12,0.3,0.85
2956,54.97,0.3,0.86
2957,55.7,0.3,0.87
2958,54.65,0.3,0.88
2959,54.73,0.3,0.89
2960,55.52,0.3,0.9
2961,55.52,0.3,0.91
2962,54.73,0.3,0.92
2963,53.43,0.3,0.93
2964,55.71,0.3,0.94
2965,53.26,0.3,0.95
2966,55.38,0.3,0.96
2967,55.6,0.3,0.97
2968,55.36,0.3,0.98
2969,55.3,0.3,0.99
2970,0.4,0.31,0.01
2971,0.6,0.31,0.02
2972,0.52,0.31,0.03
2973,0.92,0.31,0.04
2974,0.64,0.31,0.05
2975,1.24,0.31,0.06
2976,1.48,0.31,0.07
2977,1.72,0.31,0.08
2978,3.16,0.31,0.09
2979,3.44,0.31,0.1
2980,2.84,0.31,0.11
2981,10.07,0.31,0.12
2982,10.11,0.31,0.13
2983,17.1,0.31,0.14
2984,25.94,0.31,0.15
2985,24.56,0.31,0.16
2986,25.38,0.31,0.17
2987,29.91,0.31,0.18
2988,33.9,0.31,0.19
2989,33.47,0.31,0.2
2990,36.09,0.31,0.21
2991,37.63,0.31,0.22
2992,39.07,0.31,0.23
2993,38.98,0.31,0.24
2994,40.25,0.31,0.25
2995,41.77,0.31,0.26
2996,42,0.31,0.27
2997,42.09,0.31,0.28
2998,42.52,0.31,0.29
2999,45.63,0.31,0.3
3000,46.08,0.31,0.31
3001,44.82,0.31,0.32
3002,46.63,0.31,0.33
3003,46.08,0.31,0.34
3004,48.53,0.31,0.35
3005,48.7,0.31,0.36
3006,46.68,0.31,0.37
3007,49.61,0.31,0.38
3008,49.21,0.31,0.39
3009,49.56,0.31,0.4
3010,50.6,0.31,0.41
3011,49.57,0.31,0.42
3012,51.05,0.31,0.43
3013,50.94,0.31,0.44
3014,50.71,0.31,0.45
3015,51.56,0.31,0.46
3016,51.4,0.31,0.47
3017,51.92,0.31,0.48
3018,51.45,0.31,0.49
3019,50.42,0.31,0.5
3020,51.35,0.31,0.51
3021,51.37,0.31,0.52
3022,52.43,0.31,0.53
3023,51.95,0.31,0.54
3024,52.15,0.31,0.55
3025,53.18,0.31,0.56
3026,53.63,0.31,0.57
3027,55.24,0.31,0.58
3028,54.07,0.31,0.59
3029,53.82,0.31,0.6
3030,53.93,0.31,0.61
3031,54.26,0.31,0.62
3032,53.75,0.31,0.63
3033,53.12,0.31,0.64
3034,53.95,0.31,0.65
3035,54.52,0.31,0.66
3036,55.07,0.31,0.67
3037,54.48,0.31,0.68
3038,54.96,0.31,0.69
3039,55.48,0.31,0.7
3040,54.96,0.31,0.71
3041,55.34,0.31,0.72
3042,55.01,0.31,0.73
3043,54.34,0.31,0.74
3044,55.65,0.31,0.75
3045,55.48,0.31,0.76
3046,55.86,0.31,0.77
3047,54.66,0.31,0.78
3048,54.2,0.31,0.79
3049,55.54,0.31,0.8
3050,54.38,0.31,0.81
3051,55.49,0.31,0.82
3052,54.69,0.31,0.83
3053,56.44,0.31,0.84
3054,55.88,0.31,0.85
3055,54.84,0.31,0.86
3056,55.16,0.31,0.87
3057,55.67,0.31,0.88
3058,55.69,0.31,0.89
3059,55.72,0.31,0.9
3060,55.85,0.31,0.91
3061,55.13,0.31,0.92
3062,56.83,0.31,0.93
3063,56.04,0.31,0.94
3064,55.71,0.31,0.95
3065,55.09,0.31,0.96
3066,56.33,0.31,0.97
3067,57.02,0.31,0.98
3068,55.76,0.31,0.99
3069,0.4,0.32,0.01
3070,0.44,0.32,0.02
3071,0.76,0.32,0.03
3072,0.6,0.32,0.04
3073,0.84,0.32,0.05
3074,1.16,0.32,0.06
3075,2.64,0.32,0.07
3076,2.8,0.32,0.08
3077,5.6,0.32,0.09
3078,2.44,0.32,0.1
3079,7.27,0.32,0.11
3080,5.54,0.32,0.12
3081,12.12,0.32,0.13
3082,19.75,0.32,0.14
3083,21.58,0.32,0.15
3084,23.79,0.32,0.16
3085,29.03,0.32,0.17
3086,32.44,0.32,0.18
3087,32.86,0.32,0.19
3088,34.82,0.32,0.2
3089,36.18,0.32,0.21
3090,38.19,0.32,0.22
3091,39.5,0.32,0.23
3092,41.03,0.32,0.24
3093,41.06,0.32,0.25
3094,43.02,0.32,0.26
3095,42.98,0.32,0.27
3096,42.92,0.32,0.28
3097,44.57,0.32,0.29
3098,45.03,0.32,0.3
3099,44.78,0.32,0.31
3100,45.95,0.32,0.32
3101,45.94,0.32,0.33
3102,47.07,0.32,0.34
3103,47.55,0.32,0.35
3104,49.18,0.32,0.36
3105,48.76,0.32,0.37
3106,48.07,0.32,0.38
3107,50.1,0.32,0.39
3108,49.26,0.32,0.4
3109,50.48,0.32,0.41
3110,51.51,0.32,0.42
3111,49.96,0.32,0.43
3112,49.45,0.32,0.44
3113,52.27,0.32,0.45
3114,50.52,0.32,0.46
3115,52.12,0.32,0.47
3116,52.44,0.32,0.48
3117,53.28,0.32,0.49
3118,52.32,0.32,0.5
3119,54.22,0.32,0.51
3120,54.01,0.32,0.52
3121,53.67,0.32,0.53
3122,53.45,0.32,0.54
3123,53.58,0.32,0.55
3124,54.07,0.32,0.56
3125,53.64,0.32,0.57
3126,52.51,0.32,0.58
3127,54.42,0.32,0.59
3128,54.34,0.32,0.6
3129,54.38,0.32,0.61
3130,54.86,0.32,0.62
3131,53.83,0.32,0.63
3132,55.27,0.32,0.64
3133,55.51,0.32,0.65
3134,55.18,0.32,0.66
3135,55.52,0.32,0.67
3136,55.85,0.32,0.68
3137,56.06,0.32,0.69
3138,54.59,0.32,0.7
3139,54.5,0.32,0.71
3140,55.63,0.32,0.72
3141,55.21,0.32,0.73
3142,55.77,0.32,0.74
3143,56.54,0.32,0.75
3144,55.43,0.32,0.76
3145,55.87,0.32,0.77
3146,55.48,0.32,0.78
3147,56.72,0.32,0.79
3148,56.04,0.32,0.8
3149,56.39,0.32,0.81
3150,55.77,0.32,0.82
3151,54.95,0.32,0.83
3152,56.13,0.32,0.84
3153,56.67,0.32,0.85
3154,56.75,0.32,0.86
3155,55.4,0.32,0.87
3156,56.35,0.32,0.88
3157,55.17,0.32,0.89
3158,57.01,0.32,0.9
3159,56,0.32,0.91
3160,56.42,0.32,0.92
3161,56.46,0.32,0.93
3162,55.25,0.32,0.94
3163,57.49,0.32,0.95
3164,55.98,0.32,0.96
3165,56.92,0.32,0.97
3166,56.91,0.32,0.98
3167,57.29,0.32,0.99
3168,0.4,0.33,0.01
3169,0.48,0.33,0.02
3170,0.44,0.33,0.03
3171,0.6,0.33,0.04
3172,1.08,0.33,0.05
3173,1,0.33,0.06
3174,1.32,0.33,0.07
3175,1.92,0.33,0.08
3176,1.16,0.33,0.09
3177,1.72,0.33,0.1
3178,5.32,0.33,0.11
3179,13.9,0.33,0.12
3180,11.22,0.33,0.13
3181,16.82,0.33,0.14
3182,25.48,0.33,0.15
3183,26.61,0.33,0.16
3184,27.22,0.33,0.17
3185,33.3,0.33,0.18
3186,33.41,0.33,0.19
3187,34.05,0.33,0.2
3188,36.71,0.33,0.21
3189,37.95,0.33,0.22
3190,39.38,0.33,0.23
3191,40.21,0.33,0.24
3192,41.57,0.33,0.25
3193,42.92,0.33,0.26
3194,42.61,0.33,0.27
3195,42.71,0.33,0.28
3196,44.45,0.33,0.29
3197,46.27,0.33,0.3
3198,47.14,0.33,0.31
3199,46.96,0.33,0.32
3200,47.16,0.33,0.33
3201,49.42,0.33,0.34
3202,49.37,0.33,0.35
3203,48.97,0.33,0.36
3204,49.5,0.33,0.37
3205,49.57,0.33,0.38
3206,50.77,0.33,0.39
3207,50.51,0.33,0.4
3208,50.6,0.33,0.41
3209,50.54,0.33,0.42
3210,51.88,0.33,0.43
3211,51.23,0.33,0.44
3212,52.65,0.33,0.45
3213,52.09,0.33,0.46
3214,52.49,0.33,0.47
3215,53.06,0.33,0.48
3216,53.51,0.33,0.49
3217,53.71,0.33,0.5
3218,52.75,0.33,0.51
3219,53.52,0.33,0.52
3220,54.1,0.33,0.53
3221,52.98,0.33,0.54
3222,53.49,0.33,0.55
3223,53.51,0.33,0.56
3224,54.92,0.33,0.57
3225,55.46,0.33,0.58
3226,55.64,0.33,0.59
3227,55.09,0.33,0.6
3228,56.17,0.33,0.61
3229,56.08,0.33,0.62
3230,54.56,0.33,0.63
3231,55.61,0.33,0.64
3232,54.96,0.33,0.65
3233,55.08,0.33,0.66
3234,55.71,0.33,0.67
3235,55.89,0.33,0.68
3236,56.28,0.33,0.69
3237,55.89,0.33,0.7
3238,55.14,0.33,0.71
3239,55.17,0.33,0.72
3240,55.61,0.33,0.73
3241,57.17,0.33,0.74
3242,55.74,0.33,0.75
3243,56.95,0.33,0.76
3244,56.23,0.33,0.77
3245,55.98,0.33,0.78
3246,55.9,0.33,0.79
3247,56.89,0.33,0.8
3248,57.33,0.33,0.81
3249,56.98,0.33,0.82
3250,56.07,0.33,0.83
3251,57.02,0.33,0.84
3252,56.88,0.33,0.85
3253,56.86,0.33,0.86
3254,55.51,0.33,0.87
3255,57.42,0.33,0.88
3256,56.88,0.33,0.89
3257,57.61,0.33,0.9
3258,56.98,0.33,0.91
3259,56.05,0.33,0.92
3260,56.87,0.33,0.93
3261,56.88,0.33,0.94
3262,57.08,0.33,0.95
3263,56.6,0.33,0.96
3264,57.8,0.33,0.97
3265,57.31,0.33,0.98
3266,57.6,0.33,0.99
3267,0.44,0.34,0.01
3268,0.48,0.34,0.02
3269,0.88,0.34,0.03
3270,0.96,0.34,0.04
3271,0.8,0.34,0.05
3272,1.08,0.34,0.06
3273,1.68,0.34,0.07
3274,0.8,0.34,0.08
3275,3.12,0.34,0.09
3276,4.52,0.34,0.1
3277,1.2,0.34,0.11
3278,3.4,0.34,0.12
3279,12.52,0.34,0.13
3280,22.52,0.34,0.14
3281,25.54,0.34,0.15
3282,28.16,0.34,0.16
3283,27.6,0.34,0.17
3284,30.04,0.34,0.18
3285,32.74,0.34,0.19
3286,33.6,0.34,0.2
3287,37.44,0.34,0.21
3288,38.63,0.34,0.22
3289,40.51,0.34,0.23
3290,40.83,0.34,0.24
3291,41.41,0.34,0.25
3292,43.69,0.34,0.26
3293,44.5,0.34,0.27
3294,43.29,0.34,0.28
3295,45.96,0.34,0.29
3296,45.92,0.34,0.3
3297,45.66,0.34,0.31
3298,46.45,0.34,0.32
3299,47.57,0.34,0.33
3300,49.75,0.34,0.34
3301,48.86,0.34,0.35
3302,49.57,0.34,0.36
3303,49.66,0.34,0.37
3304,52.27,0.34,0.38
3305,51.3,0.34,0.39
3306,50.35,0.34,0.4
3307,51.79,0.34,0.41
3308,52.84,0.34,0.42
3309,51.81,0.34,0.43
3310,51.52,0.34,0.44
3311,51.51,0.34,0.45
3312,52.83,0.34,0.46
3313,52.94,0.34,0.47
3314,53.21,0.34,0.48
3315,53.97,0.34,0.49
3316,53.87,0.34,0.5
3317,53.15,0.34,0.51
3318,55.09,0.34,0.52
3319,53.66,0.34,0.53
3320,55.04,0.34,0.54
3321,54.73,0.34,0.55
3322,54.25,0.34,0.56
3323,54.59,0.34,0.57
3324,56.24,0.34,0.58
3325,54.67,0.34,0.59
3326,55.58,0.34,0.6
3327,55.75,0.34,0.61
3328,56.24,0.34,0.62
3329,56.42,0.34,0.63
3330,56.22,0.34,0.64
3331,56.09,0.34,0.65
3332,56.94,0.34,0.66
3333,55.35,0.34,0.67
3334,56.3,0.34,0.68
3335,57.07,0.34,0.69
3336,56.86,0.34,0.7
3337,56.42,0.34,0.71
3338,56.59,0.34,0.72
3339,56.44,0.34,0.73
3340,56.44,0.34,0.74
3341,56.74,0.34,0.75
3342,56.44,0.34,0.76
3343,56.41,0.34,0.77
3344,56.23,0.34,0.78
3345,56.62,0.34,0.79
3346,55.81,0.34,0.8
3347,57.31,0.34,0.81
3348,57.63,0.34,0.82
3349,56.93,0.34,0.83
3350,58.6,0.34,0.84
3351,57.54,0.34,0.85
3352,57.5,0.34,0.86
3353,57.98,0.34,0.87
3354,57.86,0.34,0.88
3355,56.91,0.34,0.89
3356,57.68,0.34,0.9
3357,57.69,0.34,0.91
3358,57.76,0.34,0.92
3359,57.12,0.34,0.93
3360,57.77,0.34,0.94
3361,57.07,0.34,0.95
3362,57.99,0.34,0.96
3363,57.84,0.34,0.97
3364,58.17,0.34,0.98
3365,58.65,0.34,0.99
3366,0.56,0.35,0.01
3367,0.48,0.35,0.02
3368,0.8,0.35,0.03
3369,0.72,0.35,0.04
3370,0.96,0.35,0.05
3371,1,0.35,0.06
3372,1.16,0.35,0.07
3373,0.76,0.35,0.08
3374,1.32,0.35,0.09
3375,4.88,0.35,0.1
3376,1.6,0.35,0.11
3377,6.29,0.35,0.12
3378,19.03,0.35,0.13
3379,19.89,0.35,0.14
3380,23.21,0.35,0.15
3381,29.72,0.35,0.16
3382,27.78,0.35,0.17
3383,30.66,0.35,0.18
3384,35.41,0.35,0.19
3385,33.86,0.35,0.2
3386,39.06,0.35,0.21
3387,40.97,0.35,0.22
3388,40.49,0.35,0.23
3389,43.03,0.35,0.24
3390,42.72,0.35,0.25
3391,44.15,0.35,0.26
3392,44.05,0.35,0.27
3393,45.3,0.35,0.28
3394,46.4,0.35,0.29
3395,46.04,0.35,0.3
3396,49.08,0.35,0.31
3397,48.29,0.35,0.32
3398,48.24,0.35,0.33
3399,49.32,0.35,0.34
3400,50.3,0.35,0.35
3401,49.87,0.35,0.36
3402,51.18,0.35,0.37
3403,50.71,0.35,0.38
3404,51.31,0.35,0.39
3405,50.92,0.35,0.4
3406,52.38,0.35,0.41
3407,52.48,0.35,0.42
3408,53.08,0.35,0.43
3409,52.47,0.35,0.44
3410,52.93,0.35,0.45
3411,53.38,0.35,0.46
3412,54.68,0.35,0.47
3413,53.73,0.35,0.48
3414,53.92,0.35,0.49
3415,54.14,0.35,0.5
3416,55.71,0.35,0.51
3417,54.83,0.35,0.52
3418,55.79,0.35,0.53
3419,56.1,0.35,0.54
3420,55.43,0.35,0.55
3421,55.44,0.35,0.56
3422,54.71,0.35,0.57
3423,56.33,0.35,0.58
3424,56.4,0.35,0.59
3425,55.78,0.35,0.6
3426,56.69,0.35,0.61
3427,56.5,0.35,0.62
3428,56.26,0.35,0.63
3429,57.38,0.35,0.64
3430,56.09,0.35,0.65
3431,58.11,0.35,0.66
3432,57.14,0.35,0.67
3433,56.26,0.35,0.68
3434,57.47,0.35,0.69
3435,56.78,0.35,0.7
3436,57.2,0.35,0.71
3437,56.76,0.35,0.72
3438,57.79,0.35,0.73
3439,57,0.35,0.74
3440,56.6,0.35,0.75
3441,58.01,0.35,0.76
3442,57.46,0.35,0.77
3443,58.13,0.35,0.78
3444,56.85,0.35,0.79
3445,57.95,0.35,0.8
3446,57.14,0.35,0.81
3447,57.74,0.35,0.82
3448,57.37,0.35,0.83
3449,58.04,0.35,0.84
3450,57.86,0.35,0.85
3451,57.29,0.35,0.86
3452,58.72,0.35,0.87
3453,57.16,0.35,0.88
3454,58.71,0.35,0.89
3455,58.46,0.35,0.9
3456,58.44,0.35,0.91
3457,57.44,0.35,0.92
3458,58.62,0.35,0.93
3459,59.05,0.35,0.94
3460,57.98,0.35,0.95
3461,58.8,0.35,0.96
3462,58.18,0.35,0.97
3463,57.62,0.35,0.98
3464,58.61,0.35,0.99
3465,0.4,0.36,0.01
3466,0.64,0.36,0.02
3467,0.6,0.36,0.03
3468,0.8,0.36,0.04
3469,0.96,0.36,0.05
3470,1.4,0.36,0.06
3471,1.88,0.36,0.07
3472,1.08,0.36,0.08
3473,2.48,0.36,0.09
3474,2.64,0.36,0.1
3475,2.32,0.36,0.11
3476,3.48,0.36,0.12
3477,10.11,0.36,0.13
3478,17.38,0.36,0.14
3479,25.04,0.36,0.15
3480,24.75,0.36,0.16
3481,29.24,0.36,0.17
3482,30.37,0.36,0.18
3483,34.72,0.36,0.19
3484,36.18,0.36,0.2
3485,37.2,0.36,0.21
3486,40.17,0.36,0.22
3487,40.11,0.36,0.23
3488,41.47,0.36,0.24
3489,42.35,0.36,0.25
3490,43.21,0.36,0.26
3491,44.06,0.36,0.27
3492,46.62,0.36,0.28
3493,46.58,0.36,0.29
3494,46.63,0.36,0.3
3495,47.16,0.36,0.31
3496,47.79,0.36,0.32
3497,48.26,0.36,0.33
3498,49.49,0.36,0.34
3499,49.77,0.36,0.35
3500,50.53,0.36,0.36
3501,49.73,0.36,0.37
3502,50.7,0.36,0.38
3503,51.57,0.36,0.39
3504,53.24,0.36,0.4
3505,51.08,0.36,0.41
3506,53.17,0.36,0.42
3507,52.91,0.36,0.43
3508,53.88,0.36,0.44
3509,54.01,0.36,0.45
3510,54.51,0.36,0.46
3511,53.45,0.36,0.47
3512,55,0.36,0.48
3513,54.1,0.36,0.49
3514,54.07,0.36,0.5
3515,55.59,0.36,0.51
3516,55.16,0.36,0.52
3517,55.18,0.36,0.53
3518,55.19,0.36,0.54
3519,55.48,0.36,0.55
